               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023615,             0.12537,            0.020857,             0.89616,             0.86855,             0.91542,             0.75598,            0.018411,            0.060342,            0.014556,           0.0033128,           0.0033128,            0.070185
                   1,            0.028099,             0.11048,             0.01926,             0.81213,             0.87072,              0.8961,              0.6013,             0.03059,             0.06103,            0.013317,           0.0066242,           0.0066242,            0.040163
                   2,            0.036501,             0.10788,            0.018722,             0.74735,             0.83023,             0.86131,             0.60361,            0.033842,            0.065844,            0.015428,           0.0099136,           0.0099136,            0.010119
                   3,            0.036274,             0.10991,            0.018116,             0.77235,             0.86401,             0.88569,             0.63483,            0.032081,            0.063012,             0.01317,            0.009901,            0.009901,            0.009901
                   4,            0.033349,             0.10783,              0.0167,             0.86007,             0.86164,               0.907,             0.68297,             0.02643,            0.061789,            0.013209,            0.009901,            0.009901,            0.009901
                   5,            0.030946,             0.10446,            0.015662,             0.89415,             0.88855,             0.92436,             0.70329,            0.024963,            0.060115,            0.011166,            0.009868,            0.009868,            0.009868
                   6,            0.029498,             0.10473,            0.014699,             0.93031,             0.89507,               0.942,             0.72846,            0.024643,            0.058574,            0.010402,            0.009835,            0.009835,            0.009835
                   7,            0.028693,              0.1016,            0.013864,             0.93744,             0.90267,              0.9489,             0.71853,            0.023967,            0.058132,           0.0098144,            0.009802,            0.009802,            0.009802
                   8,            0.027665,             0.10182,            0.013381,             0.93449,             0.89074,             0.93996,              0.7443,            0.022287,            0.058437,           0.0096208,            0.009769,            0.009769,            0.009769
                   9,            0.025888,            0.098867,            0.013059,             0.94263,             0.91096,             0.95058,             0.74844,            0.022677,            0.057456,            0.008971,            0.009736,            0.009736,            0.009736
                  10,            0.025816,             0.10147,            0.012473,             0.93616,             0.90922,             0.95096,             0.76904,            0.021856,            0.057113,           0.0084934,            0.009703,            0.009703,            0.009703
                  11,            0.025229,            0.098035,            0.012082,             0.93706,             0.91862,             0.95406,             0.78433,            0.021777,            0.056906,           0.0083661,             0.00967,             0.00967,             0.00967
                  12,            0.024481,            0.095919,            0.011748,             0.92749,             0.88049,             0.93351,             0.75104,            0.020678,            0.060143,           0.0091885,            0.009637,            0.009637,            0.009637
                  13,            0.023845,            0.094885,            0.011321,              0.9441,             0.91179,             0.95054,              0.7854,            0.019593,            0.056055,           0.0080478,            0.009604,            0.009604,            0.009604
                  14,            0.023694,             0.09305,            0.011135,             0.94591,             0.92084,             0.95836,             0.78727,             0.02026,            0.054899,           0.0077228,            0.009571,            0.009571,            0.009571
                  15,            0.024124,            0.092045,             0.01088,             0.94667,             0.92292,             0.95666,              0.7997,            0.019235,            0.054818,           0.0075584,            0.009538,            0.009538,            0.009538
                  16,             0.02347,            0.093828,            0.010475,             0.93594,             0.91488,             0.95176,             0.78256,            0.019775,            0.055928,           0.0078094,            0.009505,            0.009505,            0.009505
                  17,            0.022183,            0.090244,            0.010385,             0.93898,             0.92641,             0.95789,             0.81046,            0.018286,            0.053592,           0.0073825,            0.009472,            0.009472,            0.009472
                  18,            0.022733,             0.09278,            0.010276,             0.94443,             0.92472,             0.95554,             0.79946,             0.01832,            0.054518,           0.0071828,            0.009439,            0.009439,            0.009439
                  19,            0.022946,            0.092091,           0.0099567,             0.94001,             0.91728,             0.95175,             0.79704,            0.018762,            0.055249,           0.0072944,            0.009406,            0.009406,            0.009406
                  20,            0.022943,            0.089946,           0.0099018,             0.94341,               0.919,              0.9531,             0.80714,            0.017666,            0.054413,           0.0070945,            0.009373,            0.009373,            0.009373
                  21,            0.022056,            0.090223,           0.0097142,             0.93882,             0.92226,             0.95504,             0.81388,            0.017128,            0.053887,           0.0069121,             0.00934,             0.00934,             0.00934
                  22,            0.021109,            0.088712,           0.0094049,              0.9467,             0.92109,              0.9558,             0.82211,            0.017439,             0.05361,           0.0068185,            0.009307,            0.009307,            0.009307
                  23,             0.02167,            0.088068,           0.0093615,             0.94122,             0.91833,             0.95332,             0.80385,            0.018298,            0.055231,            0.006998,            0.009274,            0.009274,            0.009274
                  24,            0.022357,            0.087172,           0.0091751,             0.94519,             0.92615,               0.957,             0.81029,            0.018052,            0.053972,           0.0066861,            0.009241,            0.009241,            0.009241
                  25,            0.020769,            0.087994,           0.0090529,             0.94107,             0.90285,             0.94551,             0.79981,            0.017773,            0.057547,           0.0071417,            0.009208,            0.009208,            0.009208
                  26,            0.020867,            0.086596,            0.009031,             0.94955,              0.9222,             0.95206,             0.81126,             0.01663,             0.05515,           0.0065543,            0.009175,            0.009175,            0.009175
                  27,            0.021148,            0.086388,           0.0089074,             0.94455,             0.92939,             0.95776,             0.82879,            0.016084,            0.054255,           0.0064314,            0.009142,            0.009142,            0.009142
                  28,            0.020919,            0.086685,           0.0086114,             0.94224,              0.9224,             0.95509,             0.81435,            0.016681,            0.053588,           0.0066072,            0.009109,            0.009109,            0.009109
                  29,            0.020026,            0.084879,           0.0084898,             0.94448,             0.92452,             0.95506,             0.82448,            0.016607,            0.053909,           0.0065113,            0.009076,            0.009076,            0.009076
                  30,            0.019903,            0.083864,           0.0088345,             0.94282,             0.93111,             0.95962,               0.826,            0.016677,            0.053013,           0.0061717,            0.009043,            0.009043,            0.009043
                  31,            0.020476,            0.083599,           0.0084546,             0.94008,              0.9066,             0.94714,             0.80185,            0.018075,            0.057561,           0.0067573,             0.00901,             0.00901,             0.00901
                  32,            0.020333,            0.084362,           0.0086194,             0.94574,             0.92442,             0.95448,              0.8202,            0.017824,            0.054543,           0.0062985,            0.008977,            0.008977,            0.008977
                  33,            0.020119,            0.085179,           0.0081542,             0.94523,             0.93254,             0.95656,             0.82197,            0.017099,            0.054303,           0.0062352,            0.008944,            0.008944,            0.008944
                  34,            0.020162,            0.083781,           0.0081321,             0.94855,             0.92698,             0.95801,             0.82757,            0.016128,            0.054751,            0.005993,            0.008911,            0.008911,            0.008911
                  35,            0.019149,            0.081858,           0.0081734,             0.95006,             0.93304,             0.95831,             0.83181,            0.015623,             0.05288,           0.0059882,            0.008878,            0.008878,            0.008878
                  36,            0.019359,            0.084074,           0.0081567,              0.9517,             0.93019,             0.96086,             0.83703,            0.015568,            0.052296,           0.0058482,            0.008845,            0.008845,            0.008845
                  37,            0.019034,            0.081935,           0.0080581,             0.95176,             0.91966,             0.95479,             0.83087,             0.01618,            0.054787,           0.0060861,            0.008812,            0.008812,            0.008812
                  38,            0.019049,             0.08326,           0.0079089,             0.95026,             0.93111,             0.95738,             0.82709,            0.016774,            0.053743,            0.005935,            0.008779,            0.008779,            0.008779
                  39,            0.019349,            0.083568,           0.0079204,              0.9444,             0.91366,             0.95004,             0.82214,            0.016439,            0.056247,           0.0063222,            0.008746,            0.008746,            0.008746
                  40,            0.019489,            0.082695,           0.0077735,             0.94776,             0.90703,              0.9478,             0.81712,            0.017371,            0.057952,            0.006301,            0.008713,            0.008713,            0.008713
                  41,            0.019277,            0.082755,           0.0077824,             0.94606,             0.92878,              0.9575,             0.82833,             0.01598,            0.054634,           0.0058556,             0.00868,             0.00868,             0.00868
                  42,            0.018865,            0.080995,            0.007736,             0.95392,             0.92986,             0.95808,             0.83098,            0.015715,            0.053862,           0.0056724,            0.008647,            0.008647,            0.008647
                  43,            0.019628,            0.082702,           0.0076161,             0.95291,             0.92916,             0.96114,             0.83716,            0.014984,            0.051827,           0.0057212,            0.008614,            0.008614,            0.008614
                  44,             0.01885,             0.08004,           0.0076878,             0.95039,               0.927,             0.95726,             0.83886,            0.014858,            0.053017,           0.0058184,            0.008581,            0.008581,            0.008581
                  45,            0.018695,            0.081806,           0.0074419,             0.95543,             0.92473,              0.9582,             0.83926,            0.015363,            0.053704,           0.0055602,            0.008548,            0.008548,            0.008548
                  46,            0.018658,            0.079011,           0.0074797,             0.95061,             0.93388,             0.95858,             0.83706,            0.015781,            0.053438,           0.0055177,            0.008515,            0.008515,            0.008515
                  47,            0.018771,            0.079975,           0.0073224,             0.94956,             0.92819,             0.95564,             0.83149,            0.015901,            0.054596,           0.0055909,            0.008482,            0.008482,            0.008482
                  48,            0.018734,             0.08112,           0.0075186,             0.94716,             0.93682,             0.95716,             0.83325,            0.015946,            0.054377,           0.0054656,            0.008449,            0.008449,            0.008449
                  49,            0.017846,             0.07962,           0.0071733,             0.95205,             0.93054,             0.95932,             0.83951,             0.01502,            0.053327,             0.00546,            0.008416,            0.008416,            0.008416
                  50,            0.018353,            0.080796,           0.0074445,             0.95023,             0.93266,             0.95698,             0.83404,            0.015489,            0.053973,           0.0055164,            0.008383,            0.008383,            0.008383
